DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
84M433,Renaissance Charter High School for Innovation,High School,,N/A,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Nicholas Tishuk,435,0.069,0.372,0.177,0.802,0.968,0.103,2.17,2.01,0.011,0.386,0.579,0.014,0.009,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,1079
84M481,Democracy Prep Harlem Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Lisa Friscia/Abdul-Rahman,110,0.018,0.118,0.027,0.601,0.991,0.027,2.79,2.7,0,0.609,0.382,0,0.009,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,
84M522,Broome Street Academy Charter School,High School,,N/A,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Not Meeting Target,Barbara Mckeon,268,0.037,0.362,0.209,0.806,0.948,0.235,2.23,2.03,0.011,0.627,0.321,0.019,0.022,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,
84M888,Harlem Village Academy HS,High School,,N/A,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,Jason Griffiths,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,false,1488
84M999,Kipp NYC College Prep,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,Natalie Webb,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,false,1356
84Q705,Renaissance Charter School,High School,,N/A,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,N/A,Stacey Gauthier,210,0.043,0.195,0.029,0.398,0.695,0.033,2.6,2.54,0.186,0.152,0.543,0.11,0.01,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,1360
84R067,John W. Lavelle Preparatory Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Evelyn Finn,52,0.038,0.462,0.038,0.628,0.827,0.058,2.5,2.33,0.019,0.481,0.346,0.154,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,
84X185,Bronx Lighthouse Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Meghan Kimpton (K-4)/Dianne Hardcastle,158,0.038,0.203,0.006,0.747,0.994,0.063,2.52,2.36,0,0.316,0.677,0,0.006,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,
84X202,New Visions Charter High School for Advanced Math and Science II,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Stacey King,234,0.141,0.222,0.068,0.876,0.97,0.043,2.28,2.26,0.021,0.389,0.581,0,0.009,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84X208,New Visions Charter High School for the Humanities II,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Richard Gonzalez,221,0.113,0.231,0.1,0.792,0.959,0.113,2.17,2.05,0.005,0.367,0.593,0.009,0.027,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84X345,Hyde Leadership Charter School,High School,,N/A,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Elizabeth Olney,273,0.059,0.172,0.015,0.866,0.985,0.044,2.41,2.25,0.004,0.333,0.652,0.004,0.007,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,1205
84X347,International Leadership Charter High School,High School,,N/A,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,N/A,Elaine Ruiz Lopez,303,0.089,0.096,0.02,0.696,0.924,0.007,2.48,2.39,0.01,0.211,0.713,0.017,0.05,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,1285
84X393,University Prep Charter High School,High School,,N/A,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Ashish Kapadia,354,0.116,0.161,0.014,0.847,0.972,0.037,2.45,2.42,0.023,0.28,0.692,0.006,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,1281
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries",High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Eugene Foley,450,0.162,0.169,0.033,0.88,0.996,0.1,2.26,2.21,0.002,0.347,0.649,0,0.002,,N/A,N/A,N/A,N/A,N/A,Local Assistance Plan,,,false,1088
84X482,Dr. Richard Izquierdo Health and Science Charter School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Anthony Lopez,66,0.106,0.167,0.015,0.859,1,0.015,2.23,2.1,0,0.288,0.712,0,0,,N/A,N/A,N/A,N/A,N/A,Local Assistance Plan,,,true,
84X539,New Visions Charter High School for Advanced Math and Science,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Julia Chun,351,0.08,0.171,0.071,0.698,0.923,0.04,2.43,2.35,0.02,0.442,0.481,0.011,0.046,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84X553,New Visions Charter High School for the Humanities,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Seth Ari Lewis Levin,337,0.134,0.27,0.101,0.721,0.961,0.05,2.25,2.09,0.009,0.404,0.555,0.012,0.021,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,true,
84X703,Bronx Preparatory Charter School,High School,,N/A,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,N/A,Jacqueline King-Robinson/Edwina Branch-Smith,327,0.028,0.156,0.006,0.731,0.966,0.031,2.48,2.44,0.012,0.459,0.508,0.006,0.015,,N/A,N/A,N/A,N/A,N/A,Good Standing,,,false,1271
